x,y,z,Ux,Uy,Uz,U_magnitude
0.05,0.05,0.05,2.00011,0.0,-0.0166035,2.0001789140755006
0.15,0.05,0.05,2.00148,0.0,-0.0124536,2.0015187439924116
0.25,0.05,0.05,2.00145,0.0,-0.00985919,2.0014742831541597
0.35,0.05,0.05,2.00034,0.0,-0.00801347,2.000356051132258
0.45,0.05,0.05,1.99881,0.0,-0.00659595,1.9988208830849257
0.55,0.05,0.05,1.99705,0.0,-0.00547991,1.9970575184289532
0.65,0.05,0.05,1.99512,0.0,-0.00458031,1.9951252576316345
0.75,0.05,0.05,1.99303,0.0,-0.00383447,1.9930336886415596
0.85,0.05,0.05,1.99082,0.0,-0.00320103,1.9908225734587854
0.95,0.05,0.05,1.9885,0.0,-0.00265315,1.9885017699778198
1.05,0.05,0.05,1.98608,0.0,-0.00217247,1.986081188175826
1.15,0.05,0.05,1.98356,0.0,-0.00174576,1.9835607682342322
1.25,0.05,0.05,1.98096,0.0,-0.00136322,1.980960469057565
1.35,0.05,0.05,1.97827,0.0,-0.00101745,1.978270261643869
1.45,0.05,0.05,1.9755,0.0,-0.000702732,1.9755001249891797
1.55,0.05,0.05,1.97264,0.0,-0.000414565,1.972640043561962
1.65,0.05,0.05,1.9697,0.0,-0.000149317,1.969700005659635
1.75,0.05,0.05,1.96667,0.0,9.59768e-05,1.9666700023419144
1.85,0.05,0.05,1.96356,0.0,0.000323774,1.963560026693761
1.95,0.05,0.05,1.96037,0.0,0.000536138,1.9603700733136982
2.05,0.05,0.05,1.95708,0.0,0.000734819,1.9570801379501461
2.15,0.05,0.05,1.95372,0.0,0.000921318,1.9537202172334853
2.25,0.05,0.05,1.95026,0.0,0.00109693,1.9502603084858763
2.35,0.05,0.05,1.94672,0.0,0.0012628,1.9467204095770507
2.45,0.05,0.05,1.94308,0.0,0.0014199,1.943080518793807
2.55,0.05,0.05,1.93936,0.0,0.00156914,1.93936063479703
2.65,0.05,0.05,1.93554,0.0,0.00171128,1.9355407565017169
2.75,0.05,0.05,1.93162,0.0,0.00184703,1.9316208830719916
2.85,0.05,0.05,1.92761,0.0,0.00197704,1.927611013868504
2.95,0.05,0.05,1.9235,0.0,0.00210186,1.9235011483790332
3.05,0.05,0.05,1.91929,0.0,0.00222203,1.9192912862609783
3.15,0.05,0.05,1.91498,0.0,0.00233803,1.9149814272687555
3.25,0.05,0.05,1.91056,0.0,0.0024503,1.9105615712585895
3.35,0.05,0.05,1.90604,0.0,0.00255925,1.9060417181584883
3.45,0.05,0.05,1.9014,0.0,0.00266526,1.901401867993946
3.55,0.05,0.05,1.89665,0.0,0.00276869,1.8966520208367996
3.65,0.05,0.05,1.89179,0.0,0.00286987,1.891792176813779
3.75,0.05,0.05,1.88681,0.0,0.00296912,1.886812336130325
3.85,0.05,0.05,1.88171,0.0,0.00306675,1.8817124990432417
3.95,0.05,0.05,1.87648,0.0,0.00316303,1.8764826658295515
4.05,0.05,0.05,1.87113,0.0,0.00325825,1.8711328368379039
4.15,0.05,0.05,1.86564,0.0,0.00335266,1.8656430124568515
4.25,0.05,0.05,1.86002,0.0,0.00344653,1.860023193126645
4.35,0.05,0.05,1.85426,0.0,0.0035401,1.8542633793256043
4.45,0.05,0.05,1.84836,0.0,0.00363363,1.8483635716132736
4.55,0.05,0.05,1.84231,0.0,0.00372735,1.842313770571675
4.65,0.05,0.05,1.83611,0.0,0.0038215,1.8361139768440982
4.75,0.05,0.05,1.82976,0.0,0.00391633,1.8297641911570652
4.85,0.05,0.05,1.82324,0.0,0.00401207,1.8232444143080995
4.95,0.05,0.05,1.81655,0.0,0.00410896,1.8165546471417484
5.05,0.05,0.05,1.8097,0.0,0.00420725,1.809704890569886
5.15,0.05,0.05,1.80266,0.0,0.0043072,1.8026651457139342
5.25,0.05,0.05,1.79545,0.0,0.00440905,1.795455413598985
5.35,0.05,0.05,1.78804,0.0,0.00451307,1.7880456955572543
5.45,0.05,0.05,1.78043,0.0,0.00461954,1.7804359929662765
5.55,0.05,0.05,1.77263,0.0,0.00472875,1.772636307305185
5.65,0.05,0.05,1.76461,0.0,0.00484099,1.7646166403171484
5.75,0.05,0.05,1.75636,0.0,0.00495659,1.7563669939350455
5.85,0.05,0.05,1.7479,0.0,0.00507588,1.7479073701308587
5.95,0.05,0.05,1.73919,0.0,0.00519923,1.739197771414336
6.05,0.05,0.05,1.73023,0.0,0.00532701,1.7302382003457037
6.15,0.05,0.05,1.72102,0.0,0.00545965,1.7210286598944606
6.25,0.05,0.05,1.71154,0.0,0.00559759,1.7115491534320035
6.35,0.05,0.05,1.70178,0.0,0.00574133,1.7017896847936789
6.45,0.05,0.05,1.69172,0.0,0.00589139,1.6917302583083782
6.55,0.05,0.05,1.68136,0.0,0.00604837,1.6813708788900967
6.65,0.05,0.05,1.67067,0.0,0.0062129,1.6706815522493836
6.75,0.05,0.05,1.65965,0.0,0.00638571,1.6596622848616536
6.85,0.05,0.05,1.64827,0.0,0.00656758,1.6482830843053191
6.95,0.05,0.05,1.63651,0.0,0.00675942,1.636523959451476
7.05,0.05,0.05,1.62436,0.0,0.0069622,1.624374920339772
7.15,0.05,0.05,1.6118,0.0,0.00717705,1.6118159789649382
7.25,0.05,0.05,1.59879,0.0,0.00740524,1.598807149621072
7.35,0.05,0.05,1.58531,0.0,0.00764821,1.5853284490023525
7.45,0.05,0.05,1.57133,0.0,0.00790761,1.5713498971253703
7.55,0.05,0.05,1.55682,0.0,0.00818534,1.556841518007185
7.65,0.05,0.05,1.54174,0.0,0.00848356,1.5417633405909852
7.75,0.05,0.05,1.52605,0.0,0.00880482,1.5260754002850685
7.85,0.05,0.05,1.5097,0.0,0.00915207,1.5097277404834573
7.95,0.05,0.05,1.49265,0.0,0.00952877,1.492680414542146
8.05,0.05,0.05,1.47483,0.0,0.00993902,1.4748634896215176
8.15,0.05,0.05,1.45618,0.0,0.0103877,1.4562170500002019
8.25,0.05,0.05,1.43662,0.0,0.0108806,1.4366612028785213
8.35,0.05,0.05,1.41606,0.0,0.0114249,1.4161060878126364
8.45,0.05,0.05,1.39441,0.0,0.012029,1.3944618836458025
8.55,0.05,0.05,1.37154,0.0,0.0127037,1.3715988318723846
8.65,0.05,0.05,1.34731,0.0,0.0134621,1.3473772538663438
8.75,0.05,0.05,1.32157,0.0,0.0143208,1.321647589266004
8.85,0.05,0.05,1.29411,0.0,0.0153014,1.2942004577892716
8.95,0.05,0.05,1.26469,0.0,0.0164319,1.2647967439227579
9.05,0.05,0.05,1.23302,0.0,0.01775,1.2331477538802882
9.15,0.05,0.05,1.19872,0.0,0.0193078,1.1988754854199164
9.25,0.05,0.05,1.16132,0.0,0.0211807,1.1615131357210258
9.35,0.05,0.05,1.12019,0.0,0.0234828,1.1204361106265008
9.45,0.05,0.05,1.07448,0.0,0.0263999,1.0748042729353144
9.55,0.05,0.05,1.02293,0.0,0.0302616,1.0233775204364026
9.65,0.05,0.05,0.963637,0.0,0.0357176,0.9642987165389986
9.75,0.05,0.05,0.893205,0.0,0.0442335,0.8942995999927821
9.85,0.05,0.05,0.806866,0.0,0.0594715,0.8090547578923505
9.95,0.05,0.05,0.670842,0.0,0.0928779,0.6772409418164337
