x,y,z,Ux,Uy,Uz,U_magnitude
10.0444,0.05,0.0747085,0.629466,0.0,0.192602,0.6582727212637631
10.1332,0.05,0.124208,0.732364,-2.90724e-17,0.272962,0.7815787112888887
10.2221,0.05,0.173708,0.832402,0.0,0.334979,0.897275888478566
10.311,0.05,0.223207,0.900123,0.0,0.383622,0.9784616773348868
10.3999,0.05,0.272707,0.95068,-2.15002e-17,0.423085,1.0405735820330055
10.4888,0.05,0.322206,0.994148,0.0,0.45621,1.0938271389959202
10.5776,0.05,0.371706,1.03288,0.0,0.484733,1.1409676488354084
10.6665,0.05,0.421205,1.06737,0.0,0.509721,1.1828331305560391
10.7554,0.05,0.470705,1.09825,-1.62516e-17,0.531903,1.2202761424812827
10.8443,0.05,0.520204,1.12621,1.54342e-17,0.55182,1.2541348717342962
10.9332,0.05,0.569704,1.15178,-1.47036e-17,0.569878,1.2850517901174254
11.022,0.05,0.619203,1.17533,1.4299e-17,0.586382,1.3134856142432623
11.1109,0.05,0.668703,1.19713,-1.36798e-17,0.601563,1.3397754587500847
11.1998,0.05,0.718202,1.2174,2.234e-19,0.615602,1.3641952141845388
11.2887,0.05,0.767702,1.23632,-2.1027e-19,0.628645,1.3869685210649159
11.3776,0.05,0.817201,1.25403,-2.40056e-17,0.64081,1.4082715281507328
11.4664,0.05,0.866701,1.27063,1.88475e-19,0.652198,1.4282376651328028
11.5553,0.05,0.9162,1.28624,-1.79488e-19,0.662936,1.4470305724814525
11.6442,0.05,0.965699,1.30094,1.08121e-17,0.673161,1.4647834705242273
11.7331,0.05,1.0152,1.31484,0.0,0.682921,1.4816157794249494
11.822,0.05,1.0647,1.32799,-1.57846e-19,0.692251,1.4975876892860065
11.9108,0.05,1.1142,1.34047,-9.71857e-18,0.701179,1.5127828036241688
11.9997,0.05,1.1637,1.3523,0.0,0.70973,1.5272301604211462
12.0886,0.05,1.2132,1.36354,-1.41064e-19,0.71792,1.5409900901693039
12.1775,0.05,1.2627,1.37423,-8.7757e-18,0.725766,1.5541056526684407
12.2664,0.05,1.31219,1.38438,-8.48765e-18,0.733283,1.5665924621575964
12.3552,0.05,1.36169,1.39404,-1.27028e-19,0.740482,1.5784996401405986
12.4441,0.05,1.41119,1.40321,0.0,0.747374,1.5898321294954383
12.533,0.05,1.46069,1.41193,-7.68729e-18,0.753969,1.6006297441510324
12.6219,0.05,1.51019,1.42021,-7.43908e-18,0.760275,1.6109048760634503
12.7108,0.05,1.55969,1.42808,-7.19903e-18,0.766301,1.620688035681451
12.7996,0.05,1.60919,1.43553,-1.0741e-19,0.772052,1.6299725984212128
12.8885,0.05,1.65869,1.4426,0.0,0.777538,1.638798371198849
12.9774,0.05,1.70819,1.44928,-6.52265e-18,0.782762,1.647157814856852
13.0663,0.05,1.75769,1.4556,-6.31029e-18,0.787732,1.6550809840681513
13.1552,0.05,1.80719,1.46155,-6.10386e-18,0.792453,1.6625613250972127
13.244,0.05,1.85669,1.46715,-9.09191e-20,0.79693,1.6696186832327913
13.3329,0.05,1.90618,1.47241,0.0,0.801167,1.6762636337966055
13.4218,0.05,1.95568,1.47732,-5.5171e-18,0.80517,1.6824901519176865
13.5107,0.05,2.00518,1.48191,-5.33149e-18,0.808942,1.6883259186140573
13.5996,0.05,2.05468,1.48617,5.07115e-18,0.812487,1.6937639723612614
13.6884,0.05,2.10418,1.49011,9.87126e-18,0.81581,1.6988154014489036
13.7773,0.05,2.15368,1.49373,-4.80168e-18,0.818914,1.703481567935503
13.8662,0.05,2.20318,1.49704,9.19552e-18,0.821802,1.7077726103916762
13.9551,0.05,2.25268,1.50003,-8.86959e-18,0.824477,1.711681139823945
14.0439,0.05,2.30217,1.50272,4.24234e-18,0.826942,1.715226069579168
14.1328,0.05,2.35167,1.5051,8.24033e-18,0.829201,1.718400508729266
14.2217,0.05,2.40117,1.50718,-3.99925e-18,0.831254,1.7212131666112713
14.3106,0.05,2.45067,1.50896,7.6398e-18,0.833106,1.723666408803049
14.3995,0.05,2.50017,1.51044,3.64618e-18,0.834757,1.7257601926829231
14.4883,0.05,2.54967,1.51163,-7.06657e-18,0.83621,1.7275046804567564
14.5772,0.05,2.59916,1.51251,6.78981e-18,0.837466,1.7288828188330174
14.6661,0.05,2.64866,1.5131,-3.28536e-18,0.838528,1.7299135287013625
14.755,0.05,2.69816,1.51339,6.25536e-18,0.839395,1.7305875470848044
