x,y,z,Ux,Uy,Uz,U_magnitude
0.025,0.05,0.02,-3.04782,0.0,0.0248379,3.0479212052932754
0.075,0.05,0.02,-3.11351,0.0,0.0203545,3.113576532826879
0.125,0.05,0.02,-3.1558,0.0,0.0167608,3.1558445089098797
0.175,0.05,0.02,-3.19296,0.0,0.0136742,3.1929892804933813
0.225,0.05,0.02,-3.22367,0.0,0.0102574,3.2236863189762675
0.275,0.05,0.02,-3.24696,0.0,0.00636694,3.246966242436925
0.325,0.05,0.02,-3.26175,0.0,0.00201749,3.261750623938915
0.375,0.05,0.02,-3.26708,0.0,-0.0026973,3.267081113444735
0.425,0.05,0.02,-3.26207,0.0,-0.00765301,3.2620789771956873
0.475,0.05,0.02,-3.24644,0.0,-0.0127547,3.2464650554059706
0.525,0.05,0.02,-3.21992,0.0,-0.0178527,3.21996949136126
0.575,0.05,0.02,-3.18275,0.0,-0.0227564,3.182831352151879
0.625,0.05,0.02,-3.1355,0.0,-0.0273139,3.1356189658715246
0.675,0.05,0.02,-3.07904,0.0,-0.0314096,3.0792002020934204
0.725,0.05,0.02,-3.01444,0.0,-0.0349623,3.0146427443432313
0.775,0.05,0.02,-2.9429,0.0,-0.0379214,2.9431443122242507
0.825,0.05,0.02,-2.86568,0.0,-0.040263,2.8659628349943755
0.875,0.05,0.02,-2.78405,0.0,-0.0419854,2.7843665664407693
0.925,0.05,0.02,-2.69927,0.0,-0.0431053,2.6996141575766135
0.975,0.05,0.02,-2.61255,0.0,-0.0436543,2.612914694437706
1.025,0.05,0.02,-2.525,0.0,-0.0436768,2.525377726768461
1.075,0.05,0.02,-2.43765,0.0,-0.0432273,2.4380332487407324
1.125,0.05,0.02,-2.35139,0.0,-0.0423689,2.3517716844513648
1.175,0.05,0.02,-2.26699,0.0,-0.041171,2.267363824211059
1.225,0.05,0.02,-2.1851,0.0,-0.0397071,2.1854607440515625
1.275,0.05,0.02,-2.1062,0.0,-0.0380514,2.1065436973967473
1.325,0.05,0.02,-2.03063,0.0,-0.0362761,2.030954000545362
1.375,0.05,0.02,-1.9586,0.0,-0.0344478,1.9589029100302138
1.425,0.05,0.02,-1.89018,0.0,-0.0326247,1.8904615318620186
1.475,0.05,0.02,-1.82534,0.0,-0.0308542,1.8256007496869737
1.525,0.05,0.02,-1.76397,0.0,-0.0291719,1.764211200692709
1.575,0.05,0.02,-1.70586,0.0,-0.0276016,1.7060832886827535
1.625,0.05,0.02,-1.6508,0.0,-0.0261557,1.6510071958179013
1.675,0.05,0.02,-1.59851,0.0,-0.0248371,1.5987029435252849
1.725,0.05,0.02,-1.54873,0.0,-0.0236404,1.548910417491005
1.775,0.05,0.02,-1.50123,0.0,-0.0225546,1.5013994215002082
1.825,0.05,0.02,-1.45578,0.0,-0.0215646,1.4559397104183813
1.875,0.05,0.02,-1.41218,0.0,-0.0206531,1.4123310174812453
1.925,0.05,0.02,-1.37028,0.0,-0.0198023,1.3704230768216397
1.975,0.05,0.02,-1.32996,0.0,-0.018995,1.3300956400293176
2.025,0.05,0.02,-1.29113,0.0,-0.0182157,1.2912584902437196
2.075,0.05,0.02,-1.25376,0.0,-0.0174506,1.2538814381911711
2.125,0.05,0.02,-1.21781,0.0,-0.0166887,1.2179243444515304
2.175,0.05,0.02,-1.1833,0.0,-0.0159211,1.1834071029976159
2.225,0.05,0.02,-1.15025,0.0,-0.0151417,1.150349657095133
2.275,0.05,0.02,-1.1187,0.0,-0.0143469,1.1187919929726036
2.325,0.05,0.02,-1.08869,0.0,-0.0135353,1.0887741365618904
2.375,0.05,0.02,-1.06027,0.0,-0.0127077,1.0603461503392606
2.425,0.05,0.02,-1.03351,0.0,-0.0118668,1.0335781252727052
2.475,0.05,0.02,-1.00844,0.0,-0.011017,1.0085001774362758
2.525,0.05,0.02,-0.985101,0.0,-0.0101641,0.9851534343084888
2.575,0.05,0.02,-0.963526,0.0,-0.00931474,0.9635710233590815
2.625,0.05,0.02,-0.943727,0.0,-0.00847609,0.9437650632602841
2.675,0.05,0.02,-0.925701,0.0,-0.00765546,0.9257326544250297
2.725,0.05,0.02,-0.909431,0.0,-0.00685979,0.9094568711488435
2.775,0.05,0.02,-0.894881,0.0,-0.00609523,0.8949017577308432
2.825,0.05,0.02,-0.881999,0.0,-0.00536697,0.8820153288735865
2.875,0.05,0.02,-0.870718,0.0,-0.0046791,0.8707305722787101
2.925,0.05,0.02,-0.860959,0.0,-0.00403474,0.8609684540143545
2.975,0.05,0.02,-0.85263,0.0,-0.00343616,0.852636923957405
3.025,0.05,0.02,-0.845631,0.0,-0.00288503,0.8456359213982699
3.075,0.05,0.02,-0.839858,0.0,-0.00238264,0.839861379715349
3.125,0.05,0.02,-0.8352,0.0,-0.00193005,0.835202230057489
3.175,0.05,0.02,-0.831542,0.0,-0.00152812,0.8315434041075274
3.225,0.05,0.02,-0.82877,0.0,-0.0011776,0.828770836626
3.275,0.05,0.02,-0.826764,0.0,-0.000879056,0.8267644673275765
3.325,0.05,0.02,-0.825408,0.0,-0.000632887,0.8254082426350944
3.375,0.05,0.02,-0.824585,0.0,-0.000439311,0.8245851170250132
3.425,0.05,0.02,-0.824176,0.0,-0.000298399,0.8241760540187777
3.475,0.05,0.02,-0.824066,0.0,-0.000209873,0.8240660267252109
3.525,0.05,0.02,-0.824142,0.0,-0.000172781,0.8241420181117294
3.575,0.05,0.02,-0.824293,0.0,-0.000186291,0.8242930210509711
3.625,0.05,0.02,-0.824411,0.0,-0.000249903,0.8244110378764402
3.675,0.05,0.02,-0.824393,0.0,-0.000363164,0.8243930799910265
3.725,0.05,0.02,-0.824133,0.0,-0.000526428,0.8241331681320921
3.775,0.05,0.02,-0.823529,0.0,-0.000740845,0.8235293332312541
3.825,0.05,0.02,-0.822476,0.0,-0.00100761,0.8224766172079983
3.875,0.05,0.02,-0.82087,0.0,-0.00132812,0.8208710744098213
3.925,0.05,0.02,-0.818605,0.0,-0.00170445,0.8186067744496148
3.975,0.05,0.02,-0.815572,0.0,-0.0021396,0.8155748065457638
4.025,0.05,0.02,-0.811658,0.0,-0.00263762,0.8116622856849174
4.075,0.05,0.02,-0.806747,0.0,-0.00320397,0.8067533622072863
4.125,0.05,0.02,-0.800712,0.0,-0.00384577,0.8007212354439546
4.175,0.05,0.02,-0.793419,0.0,-0.0045723,0.7934321744725821
4.225,0.05,0.02,-0.784717,0.0,-0.00539557,0.78473554925505
4.275,0.05,0.02,-0.77444,0.0,-0.00633111,0.774465878237274
4.325,0.05,0.02,-0.762401,0.0,-0.00739912,0.7624369034731822
4.375,0.05,0.02,-0.74838,0.0,-0.008626,0.7484297109789269
4.425,0.05,0.02,-0.732125,0.0,-0.0100466,0.7321939290902104
4.475,0.05,0.02,-0.713332,0.0,-0.0117076,0.7134280693396917
4.525,0.05,0.02,-0.691637,0.0,-0.0136719,0.6917721161037137
4.575,0.05,0.02,-0.666595,0.0,-0.0160252,0.6667875981600438
4.625,0.05,0.02,-0.637639,0.0,-0.018885,0.6379185978994498
4.675,0.05,0.02,-0.604009,0.0,-0.0224202,0.604424964283442
4.725,0.05,0.02,-0.564737,0.0,-0.0268814,0.5653764134052287
4.775,0.05,0.02,-0.518826,0.0,-0.0326087,0.519849733665114
4.825,0.05,0.02,-0.465069,0.0,-0.039948,0.46678155219010103
4.875,0.05,0.02,-0.399067,0.0,-0.0492244,0.40209142249538227
4.925,0.05,0.02,-0.308397,0.0,-0.061459,0.31446131445696146
4.975,0.05,0.02,-0.191522,0.0,-0.0804304,0.20772512059970022
0.025,0.05,0.06,-2.9088,0.0,0.0632942,2.9094885453896597
0.075,0.05,0.06,-2.96713,0.0,0.056369,2.9676653957380372
0.125,0.05,0.06,-3.00984,0.0,0.0488816,3.0102369070255186
0.175,0.05,0.06,-3.0485,0.0,0.0417711,3.0487861641635696
0.225,0.05,0.06,-3.08149,0.0,0.0335913,3.081673083819192
0.275,0.05,0.06,-3.1074,0.0,0.0240313,3.1074929224987287
0.325,0.05,0.06,-3.12498,0.0,0.0131508,3.1250076710210872
0.375,0.05,0.06,-3.13318,0.0,0.00120282,3.1331802308797925
0.425,0.05,0.06,-3.13111,0.0,-0.0114774,3.1311310357138935
0.475,0.05,0.06,-3.11846,0.0,-0.0245738,3.118556820589684
0.525,0.05,0.06,-3.09511,0.0,-0.0376709,3.0953392396968074
0.575,0.05,0.06,-3.06128,0.0,-0.0502842,3.061692953117546
0.625,0.05,0.06,-3.01758,0.0,-0.0620252,3.018217384787756
0.675,0.05,0.06,-2.96487,0.0,-0.072604,2.9657588333706433
0.725,0.05,0.06,-2.9042,0.0,-0.081821,2.905352356606854
0.775,0.05,0.06,-2.83672,0.0,-0.0895569,2.8381333296266424
0.825,0.05,0.06,-2.76368,0.0,-0.0957591,2.765338486990844
0.875,0.05,0.06,-2.68631,0.0,-0.100429,2.6881866378919828
0.925,0.05,0.06,-2.60584,0.0,-0.103612,2.6078990686266983
0.975,0.05,0.06,-2.52343,0.0,-0.105386,2.525629658896173
1.025,0.05,0.06,-2.44019,0.0,-0.105858,2.4424850362415733
1.075,0.05,0.06,-2.35711,0.0,-0.105156,2.359454457376959
1.125,0.05,0.06,-2.27509,0.0,-0.103426,2.277439668921221
1.175,0.05,0.06,-2.1949,0.0,-0.100829,2.197214713504577
1.225,0.05,0.06,-2.11717,0.0,-0.0975359,2.1194154997755423
1.275,0.05,0.06,-2.04241,0.0,-0.0937206,2.0445591600548902
1.325,0.05,0.06,-1.97096,0.0,-0.0895567,1.9729935945448203
1.375,0.05,0.06,-1.90305,0.0,-0.085208,1.9049566151920625
1.425,0.05,0.06,-1.83876,0.0,-0.0808222,1.8405354018906672
1.475,0.05,0.06,-1.77805,0.0,-0.0765253,1.779696020122563
1.525,0.05,0.06,-1.7208,0.0,-0.0724168,1.722323091908786
1.575,0.05,0.06,-1.6668,0.0,-0.0685683,1.6682097745082571
1.625,0.05,0.06,-1.61579,0.0,-0.0650236,1.6170978302678414
1.675,0.05,0.06,-1.56748,0.0,-0.0618013,1.56869785206766
1.725,0.05,0.06,-1.52159,0.0,-0.0588976,1.5227294754439344
1.775,0.05,0.06,-1.47781,0.0,-0.0562914,1.4788817119073319
1.825,0.05,0.06,-1.4359,0.0,-0.0539481,1.4369130827901908
1.875,0.05,0.06,-1.39563,0.0,-0.0518251,1.3965919009825345
1.925,0.05,0.06,-1.35681,0.0,-0.0498757,1.3577263942158928
1.975,0.05,0.06,-1.3193,0.0,-0.048053,1.3201748296377263
2.025,0.05,0.06,-1.283,0.0,-0.0463123,1.2838355927186664
2.075,0.05,0.06,-1.24786,0.0,-0.0446132,1.2486572456900413
2.125,0.05,0.06,-1.21386,0.0,-0.0429206,1.2146185728467846
2.175,0.05,0.06,-1.181,0.0,-0.0412058,1.1817186289272248
2.225,0.05,0.06,-1.14933,0.0,-0.0394467,1.1500067352154464
2.275,0.05,0.06,-1.1189,0.0,-0.0376277,1.1195325157436429
2.325,0.05,0.06,-1.08979,0.0,-0.0357398,1.0903758881248429
2.375,0.05,0.06,-1.06206,0.0,-0.03378,1.0625970694482458
2.425,0.05,0.06,-1.03581,0.0,-0.0317508,1.0362965161577258
2.475,0.05,0.06,-1.0111,0.0,-0.02966,1.0115349354322865
2.525,0.05,0.06,-0.987993,0.0,-0.0275197,0.9883761945418809
2.575,0.05,0.06,-0.966557,0.0,-0.0253459,0.9668892640296561
2.625,0.05,0.06,-0.946828,0.0,-0.0231578,0.9471111578293437
2.675,0.05,0.06,-0.928831,0.0,-0.0209767,0.9290678384832239
2.725,0.05,0.06,-0.912574,0.0,-0.0188249,0.9127681427043837
2.775,0.05,0.06,-0.898042,0.0,-0.0167249,0.8981977265858615
2.825,0.05,0.06,-0.885202,0.0,-0.0146979,0.8853240136065497
2.875,0.05,0.06,-0.874001,0.0,-0.0127629,0.8740941823495968
2.925,0.05,0.06,-0.864366,0.0,-0.0109359,0.8644351773642776
2.975,0.05,0.06,-0.85621,0.0,-0.00922975,0.8562597458628209
3.025,0.05,0.06,-0.84943,0.0,-0.00765419,0.849464485146116
3.075,0.05,0.06,-0.843915,0.0,-0.00621594,0.8439378917521618
