x,y,z,Ux,Uy,Uz,U_magnitude
5.00013,0.05,0.0266667,-0.16142,0.0,-0.117109,0.19942651348554435
5.0004,0.05,0.0266667,-0.161102,0.0,-0.117418,0.1993510499796778
5.00067,0.05,0.0266667,-0.160941,0.0,-0.117722,0.19940028777561983
5.00093,0.05,0.0266667,-0.160771,0.0,-0.118025,0.19944225998017573
5.0012,0.05,0.0266667,-0.160585,7.36966e-19,-0.118328,0.19947194742369165
5.00147,0.05,0.0266667,-0.160399,-7.3878e-19,-0.118629,0.1995010747890848
5.00173,0.05,0.0266667,-0.160215,-7.40663e-19,-0.11893,0.1995324312611862
5.002,0.05,0.0266667,-0.160031,7.42648e-19,-0.11923,0.19956380899602014
5.00227,0.05,0.0266667,-0.159847,0.0,-0.119531,0.1995964011950115
5.00253,0.05,0.0266667,-0.159663,0.0,-0.119833,0.19963021178669324
5.0028,0.05,0.0266667,-0.15948,0.0,-0.120135,0.19966544173942571
5.00307,0.05,0.0266667,-0.159298,1.50218e-18,-0.120438,0.19970269063785795
5.00333,0.05,0.0266667,-0.159115,-1.50662e-18,-0.120743,0.1997409704442231
5.0036,0.05,0.0266667,-0.158934,0.0,-0.12105,0.1997826790690324
5.00387,0.05,0.0266667,-0.158753,0.0,-0.121359,0.1998262292343025
5.00413,0.05,0.0266667,-0.158573,3.04017e-18,-0.12167,0.1998724223823787
5.0044,0.05,0.0266667,-0.158394,-3.04932e-18,-0.121984,0.19992187347061352
5.00467,0.05,0.0266667,-0.158216,-3.0584e-18,-0.122301,0.19997459152852395
5.00493,0.05,0.0266667,-0.158039,3.06761e-18,-0.122621,0.20003058556630784
5.0052,0.05,0.0266667,-0.157863,0.0,-0.122945,0.20009047901886787
5.00547,0.05,0.0266667,-0.157689,0.0,-0.123272,0.20015445711999522
5.00573,0.05,0.0266667,-0.157517,3.09515e-18,-0.123604,0.20022376009105414
5.006,0.05,0.0266667,-0.157346,-3.10445e-18,-0.123939,0.2002963789912339
5.00627,0.05,0.0266667,-0.157177,-3.11366e-18,-0.124279,0.20037434758471453
5.00653,0.05,0.0266667,-0.157011,3.12302e-18,-0.124624,0.2004584632710727
5.0068,0.05,0.0266667,-0.156847,3.13232e-18,-0.124973,0.20054733141580317
5.00707,0.05,0.0266667,-0.156685,-3.14179e-18,-0.125328,0.20064221093528647
5.00733,0.05,0.0266667,-0.156526,-3.15123e-18,-0.125687,0.20074264779811984
5.0076,0.05,0.0266667,-0.15637,3.16086e-18,-0.126052,0.2008499031714977
5.00787,0.05,0.0266667,-0.156217,-3.1705e-18,-0.126423,0.20096399184431027
5.00813,0.05,0.0266667,-0.156068,-3.18027e-18,-0.126799,0.2010850740980046
5.0084,0.05,0.0266667,-0.155922,6.38074e-18,-0.127181,0.20121301360747024
5.00867,0.05,0.0266667,-0.155779,6.40097e-18,-0.127569,0.20134782492492934
5.00893,0.05,0.0266667,-0.15564,-6.42185e-18,-0.127963,0.20149029497472082
5.0092,0.05,0.0266667,-0.155506,0.0,-0.128363,0.20164120562275956
5.00947,0.05,0.0266667,-0.155376,0.0,-0.128769,0.20179979369910167
5.00973,0.05,0.0266667,-0.15525,-6.48725e-18,-0.129181,0.20196606957853094
5.01,0.05,0.0266667,-0.155129,6.51052e-18,-0.1296,0.2021414520601848
5.01027,0.05,0.0266667,-0.155012,6.53435e-18,-0.130024,0.2023239005159796
5.01053,0.05,0.0266667,-0.1549,-6.55931e-18,-0.130455,0.20251547354461585
5.0108,0.05,0.0266667,-0.154794,0.0,-0.130892,0.20271629954199538
5.01107,0.05,0.0266667,-0.154693,0.0,-0.131335,0.2029256180820943
5.01133,0.05,0.0266667,-0.154597,-6.64002e-18,-0.131784,0.20314343470808996
5.0116,0.05,0.0266667,-0.154507,6.66957e-18,-0.132239,0.20337051450493013
