x,y,z,Ux,Uy,Uz,U_magnitude
0.0625,0.05,0.03125,-3.96732e-05,0.0,4.82537e-05,6.246905123283049e-05
0.1875,0.05,0.03125,-0.00012556,0.0,4.57055e-05,0.00013362000722290807
0.3125,0.05,0.03125,-0.000216264,0.0,4.49472e-05,0.00022088541935546584
0.4375,0.05,0.03125,-0.000305202,0.0,4.49958e-05,0.0003085010256411476
0.5625,0.05,0.03125,-0.000395329,0.0,4.56306e-05,0.0003979537283370518
0.6875,0.05,0.03125,-0.000487569,0.0,4.67346e-05,0.0004898036878160065
0.8125,0.05,0.03125,-0.000582821,0.0,4.82248e-05,0.0005848127472756044
0.9375,0.05,0.03125,-0.000681794,0.0,5.00262e-05,0.0006836268566421598
1.0625,0.05,0.03125,-0.000785035,0.0,5.20447e-05,0.0007867582869109737
1.1875,0.05,0.03125,-0.000892903,0.0,5.41913e-05,0.0008945459543280546
1.3125,0.05,0.03125,-0.00100556,0.0,5.63704e-05,0.0010071387866605872
1.4375,0.05,0.03125,-0.00112301,0.0,5.85071e-05,0.0011245330323518335
1.5625,0.05,0.03125,-0.0012451,0.0,6.0532e-05,0.0012465705487552641
1.6875,0.05,0.03125,-0.00137154,0.0,6.24023e-05,0.0013729588554087448
1.8125,0.05,0.03125,-0.00150199,0.0,6.40813e-05,0.0015033563692982744
1.9375,0.05,0.03125,-0.00163605,0.0,6.55559e-05,0.0016373628731972672
2.0625,0.05,0.03125,-0.00177328,0.0,6.68143e-05,0.0017745382805351058
2.1875,0.05,0.03125,-0.00191324,0.0,6.7862e-05,0.0019144431432257267
2.3125,0.05,0.03125,-0.0020555,0.0,6.87007e-05,0.002056647766677729
2.4375,0.05,0.03125,-0.00219965,0.0,6.93442e-05,0.0022007427701968355
2.5625,0.05,0.03125,-0.00234527,0.0,6.97994e-05,0.0023463084471442284
2.6875,0.05,0.03125,-0.002492,0.0,7.00813e-05,0.002492985236340097
