x,y,z,Ux,Uy,Uz,U_magnitude
30.0554,0.05,0.0622396,-0.0293682,0.0,-0.0126355,0.031971034257433716
30.1665,0.05,0.124348,-0.0403563,0.0,-0.0198112,0.044956808106559346
30.2776,0.05,0.186457,-0.0453649,4.70537e-16,-0.0235366,0.05110719804068699
30.3887,0.05,0.248565,-0.0483967,4.5753e-16,-0.0258376,0.05486184598288687
30.4998,0.05,0.310674,-0.0501418,0.0,-0.0272167,0.057052159171498494
30.6109,0.05,0.372782,-0.0510055,0.0,-0.0279842,0.058177972462866046
30.722,0.05,0.434891,-0.0512592,0.0,-0.0283369,0.05857034647541365
30.8331,0.05,0.496999,-0.0510694,4.41251e-16,-0.0283922,0.058431161525336804
30.9442,0.05,0.559107,-0.0505454,0.0,-0.028227,0.057893013310415964
31.0553,0.05,0.621216,-0.0497631,4.42449e-16,-0.0278932,0.05704732007596851
31.1664,0.05,0.683324,-0.0487768,0.0,-0.0274274,0.05595925740214929
31.2775,0.05,0.745432,-0.0476273,0.0,-0.0268563,0.05467742271705937
31.3886,0.05,0.807541,-0.0463456,4.49674e-16,-0.0262003,0.053238805015233016
31.4997,0.05,0.869649,-0.0449567,0.0,-0.0254751,0.05167287097597732
31.6108,0.05,0.931757,-0.0434808,0.0,-0.0246937,0.050003587754580164
31.7219,0.05,0.993865,-0.0419348,0.0,-0.0238665,0.048250774846524486
31.833,0.05,1.05597,-0.040333,0.0,-0.0230023,0.04643120388585676
31.9441,0.05,1.11808,-0.0386878,0.0,-0.0221088,0.044559453612897905
32.0552,0.05,1.18019,-0.0370101,0.0,-0.0211925,0.04264820697590931
32.1663,0.05,1.2423,-0.0353093,4.81205e-16,-0.0202592,0.04070849851234998
32.2774,0.05,1.30441,-0.0335942,0.0,-0.019314,0.03875049508896628
32.3885,0.05,1.36651,-0.0318724,0.0,-0.0183617,0.03678317426011518
32.4996,0.05,1.42862,-0.030151,0.0,-0.0174064,0.03481473196737266
32.6107,0.05,1.49073,-0.0284365,0.0,-0.0164519,0.03285269465142852
32.7218,0.05,1.55284,-0.026735,5.1306e-16,-0.0155018,0.030904142574095142
32.8329,0.05,1.61494,-0.0250518,0.0,-0.0145594,0.028975313830914756
32.944,0.05,1.67705,-0.0233921,0.0,-0.0136277,0.027072209915335686
33.0551,0.05,1.73916,-0.0217608,0.0,-0.0127096,0.025200522788228024
33.1662,0.05,1.80127,-0.0201622,0.0,-0.0118077,0.023365275263304734
33.2773,0.05,1.86337,-0.0186006,5.53216e-16,-0.0109244,0.02157138928581096
33.3884,0.05,1.92548,-0.0170799,0.0,-0.0100622,0.01982349244835531
33.4995,0.05,1.98759,-0.0156038,0.0,-0.00922323,0.018125852975043686
33.6106,0.05,2.0497,-0.0141758,0.0,-0.0084095,0.016482505752767083
33.7217,0.05,2.1118,-0.012799,-5.93324e-16,-0.00762299,0.014897126486007292
33.8328,0.05,2.17391,-0.0114764,-6.0481e-16,-0.00686552,0.0133732240626709
33.9439,0.05,2.23602,-0.0102109,0.0,-0.00613877,0.011914150239228143
34.055,0.05,2.29812,-0.0090051,-6.29969e-16,-0.00544433,0.010522953727870326
34.1661,0.05,2.36023,-0.00786129,0.0,-0.00478365,0.009202346862980116
34.2772,0.05,2.42234,-0.00678163,-6.586e-16,-0.00415807,0.007954875962691059
34.3883,0.05,2.48444,-0.00576806,-6.74474e-16,-0.00356877,0.006782819139303363
34.4994,0.05,2.54655,-0.00482207,0.0,-0.00301677,0.005687992643965005
34.6105,0.05,2.60865,-0.00394494,-7.09989e-16,-0.00250293,0.0046719599943171606
34.7216,0.05,2.67076,-0.00313787,0.0,-0.00202807,0.0037362141348964463
34.8327,0.05,2.73287,-0.0024017,-7.51638e-16,-0.00159281,0.002881875532721703
34.9437,0.05,2.79497,-0.00173672,0.0,-0.00119746,0.002109527627218947
35.0548,0.05,2.85708,-0.0011429,0.0,-0.000842159,0.0014196662253082588
35.1659,0.05,2.91918,-0.000619855,-8.29585e-16,-0.000526868,0.0008135171236360056
35.277,0.05,2.98129,-0.000166908,-8.60849e-16,-0.000251364,0.00030173190245646884
35.3881,0.05,3.04339,0.000217679,0.0,-1.4613e-05,0.00021816894098381648
35.4992,0.05,3.10549,0.000534265,0.0,0.000183217,0.0005648075418352698
35.6103,0.05,3.1676,0.000786187,0.0,0.00034363,0.0008580044148307164
35.7214,0.05,3.2297,0.000976411,-1.01871e-15,0.000468257,0.001082886447865149
35.8325,0.05,3.2918,0.00110839,-1.07193e-15,0.000558919,0.001241337520846365
35.9436,0.05,3.35391,0.00118626,0.0,0.000617802,0.0013374947098228089
36.0547,0.05,3.41601,0.00121472,0.0,0.000647431,0.0013764852262777834
36.1657,0.05,3.47811,0.00119903,0.0,0.000650668,0.0013642000539231774
36.2768,0.05,3.54021,0.00114516,-1.37743e-15,0.000630754,0.001307379835440336
36.3879,0.05,3.60231,0.00105921,-1.4876e-15,0.000591181,0.001213021351362374
36.499,0.05,3.66441,0.000948473,0.0,0.000535887,0.0010893924492569242
36.6101,0.05,3.72651,0.000819126,0.0,0.000468851,0.0009438160117718919
36.7212,0.05,3.7886,0.000680449,-1.95963e-15,0.000394686,0.0007866307139929129
36.8322,0.05,3.8507,0.00053855,0.0,0.000317733,0.0006252922211166552
36.9433,0.05,3.91279,0.000405396,-2.46601e-15,0.000242545,0.00047241294842647995
37.0544,0.05,3.97488,0.000276464,0.0,0.000169916,0.0003245054550419761
37.1654,0.05,4.03697,0.000176354,0.0,0.000110861,0.00020830481184312571
37.2765,0.05,4.09906,8.99818e-05,0.0,6.22438e-05,0.00010941213355784632
37.3875,0.05,4.16114,2.5266e-05,0.0,3.28799e-05,4.146635479530362e-05
37.4986,0.05,4.22322,3.61482e-05,-5.21868e-15,3.29335e-05,4.890099984141428e-05
37.6096,0.05,4.28529,2.62193e-05,0.0,3.18912e-05,4.128559470238984e-05
37.7207,0.05,4.34736,-1.69132e-05,0.0,1.76874e-05,2.447244272646276e-05
37.8317,0.05,4.40942,-1.396e-05,0.0,1.10767e-05,1.782063082188731e-05
