x,y,z,Ux,Uy,Uz,U_magnitude
0.0833333,0.166667,0.05,0.000156939,-0.000686262,0.000170237,0.0007242692997318055
0.25,0.166667,0.05,0.000442387,-0.000679704,0.00016468,0.0008275405052231583
0.416667,0.166667,0.05,0.000721533,-0.000665861,0.000160194,0.000994807950835738
0.583333,0.166667,0.05,0.000992807,-0.000646786,0.00015613,0.001195146202748852
0.75,0.166667,0.05,0.0012524,-0.000622857,0.00015221,0.0014069912887253425
0.916667,0.166667,0.05,0.00149712,-0.000594247,0.000148285,0.0016175556350969819
1.08333,0.166667,0.05,0.00172396,-0.000561082,0.000144289,0.0018187001973511193
1.25,0.166667,0.05,0.00192995,-0.00052352,0.000140177,0.0020046021511085435
1.41667,0.166667,0.05,0.00211212,-0.000481813,0.000135936,0.0021706389053605855
1.58333,0.166667,0.05,0.00226758,-0.00043635,0.000131563,0.0023129265448494033
1.75,0.166667,0.05,0.00239357,-0.000387689,0.000127071,0.002428091255423074
1.91667,0.166667,0.05,0.00248754,-0.000336556,0.000122479,0.0025131904619779613
2.08333,0.166667,0.05,0.0025473,-0.00028382,0.000117811,0.002565768990794183
2.25,0.166667,0.05,0.00257115,-0.000230422,0.000113072,0.0025839295458212476
2.41667,0.166667,0.05,0.002558,-0.000177293,0.000108233,0.002566419916953966
2.58333,0.166667,0.05,0.00250752,-0.000125248,0.000103201,0.002512766216404742
2.75,0.166667,0.05,0.00242031,-7.48987e-05,9.78056e-05,0.0024234430562225
2.91667,0.166667,0.05,0.00229787,-2.65969e-05,9.18056e-05,0.0022998569955936326
3.08333,0.166667,0.05,0.00214255,1.96863e-05,8.48825e-05,0.0021443211260708923
3.25,0.166667,0.05,0.0019574,6.46847e-05,7.67445e-05,0.00195997157854249
3.41667,0.166667,0.05,0.00174556,0.000108845,6.72187e-05,0.0017502414979809757
3.58333,0.166667,0.05,0.00151029,0.000152317,5.61699e-05,0.0015189902600922134
3.75,0.166667,0.05,0.00125486,0.000195177,4.35589e-05,0.0012706947149879117
3.91667,0.166667,0.05,0.000982405,0.000237509,2.94433e-05,0.0010111364977197143
4.08333,0.166667,0.05,0.000695604,0.000279404,1.39659e-05,0.0007497510029301794
4.25,0.166667,0.05,0.000397069,0.000321071,-2.72457e-06,0.0005106444957929978
4.41667,0.166667,0.05,8.91549e-05,0.000362504,-2.04453e-05,0.00037386596060901293
4.58333,0.166667,0.05,-0.000229937,0.000403599,-3.84504e-05,0.00046609184720413206
4.75,0.166667,0.05,-0.000554154,0.000444172,-5.58426e-05,0.000712386003003119
4.91667,0.166667,0.05,-0.000888146,0.000485061,-7.28842e-05,0.0010145933163818101
5.08333,0.166667,0.05,-0.00123078,0.000526042,-8.94912e-05,0.001341472425747708
5.25,0.166667,0.05,-0.00158316,0.000567285,-0.00010565,0.0016850429606763738
5.41667,0.166667,0.05,-0.00194608,0.000608866,-0.000121378,0.0020427133404469656
5.58333,0.166667,0.05,-0.00232045,0.000650853,-0.000136724,0.0024138747445310825
5.75,0.166667,0.05,-0.00270715,0.000693301,-0.000151766,0.0027986354385408974
5.91667,0.166667,0.05,-0.00310697,0.00073624,-0.000166602,0.0031973533031093076
6.08333,0.166667,0.05,-0.00352053,0.000779704,-0.000181349,0.0036103957218450444
6.25,0.166667,0.05,-0.00394826,0.000823714,-0.000196133,0.004038035405377844
6.41667,0.166667,0.05,-0.00439037,0.000868285,-0.000211084,0.00448038213026311
6.58333,0.166667,0.05,-0.00484685,0.000913416,-0.000226329,0.0049373584564822715
6.75,0.166667,0.05,-0.00531742,0.000959098,-0.000241988,0.005408639627683471
6.91667,0.166667,0.05,-0.00580158,0.00100531,-0.000258167,0.005893693993785985
7.08333,0.166667,0.05,-0.00629863,0.00105202,-0.000274955,0.006391798354870483
7.25,0.166667,0.05,-0.00680764,0.00109919,-0.000292421,0.006902006307367518
7.41667,0.166667,0.05,-0.00732757,0.00114676,-0.000310613,0.007423262156105562
7.58333,0.166667,0.05,-0.0078572,0.00119469,-0.000329554,0.007954337299550227
7.75,0.166667,0.05,-0.00839527,0.0012429,-0.000349245,0.008493958491358726
7.91667,0.166667,0.05,-0.00894044,0.00129132,-0.000369662,0.00904077567082847
8.08333,0.166667,0.05,-0.00949138,0.00133988,-0.00039076,0.009593449124084623
8.25,0.166667,0.05,-0.0100468,0.00138849,-0.000412475,0.010150676349176196
8.41667,0.166667,0.05,-0.0106054,0.00143708,-0.000434724,0.010711148073039415
8.58333,0.166667,0.05,-0.0111661,0.00148555,-0.00045741,0.011273769197593144
8.75,0.166667,0.05,-0.0117278,0.00153383,-0.000480425,0.011837429429125438
8.91667,0.166667,0.05,-0.0122896,0.00158183,-0.000503653,0.012401214482997582
9.08333,0.166667,0.05,-0.0128509,0.00162947,-0.000526974,0.012964509434898646
9.25,0.166667,0.05,-0.0134111,0.00167668,-0.000550267,0.01352670147536675
9.41667,0.166667,0.05,-0.0139697,0.00172338,-0.000573414,0.014087276540545231
9.58333,0.166667,0.05,-0.0145266,0.0017695,-0.000596304,0.01464611949529349
9.75,0.166667,0.05,-0.0150817,0.001815,-0.000618833,0.015203119882836187
9.91667,0.166667,0.05,-0.0156351,0.00185981,-0.00064091,0.015758363204159243
10.0833,0.166667,0.05,-0.0161869,0.00190389,-0.000662457,0.016311939738085996
10.25,0.166667,0.05,-0.0167375,0.00194721,-0.000683413,0.016864239869103764
10.4167,0.166667,0.05,-0.0172873,0.00198975,-0.000703731,0.017415656280280134
10.5833,0.166667,0.05,-0.0178368,0.00203148,-0.000723385,0.017966681137278107
10.75,0.166667,0.05,-0.0183864,0.00207241,-0.000742365,0.018517712978694884
10.9167,0.166667,0.05,-0.0189367,0.00211254,-0.00076068,0.019069348866807175
