x,y,z,Ux,Uy,Uz,U_magnitude
30.0739,0.166667,0.0911345,-0.194498,-0.00795439,-0.0979698,0.2179238996446055
30.222,0.166667,0.173632,-0.231904,-0.0233863,-0.114561,0.2597125467987444
30.3701,0.166667,0.25613,-0.244855,-0.0330681,-0.119648,0.2745234309974469
30.5183,0.166667,0.338628,-0.252548,-0.0392704,-0.121772,0.28310965473498073
30.6664,0.166667,0.421126,-0.257269,-0.0433173,-0.122649,0.2882819870218915
30.8145,0.166667,0.503624,-0.260714,-0.0458587,-0.123185,0.2919749208180217
30.9626,0.166667,0.586121,-0.26377,-0.0472318,-0.123855,0.29520419518739904
31.1108,0.166667,0.668619,-0.266969,-0.0476797,-0.124926,0.2985838345073122
31.2589,0.166667,0.751117,-0.27064,-0.0474102,-0.126546,0.30250227566092786
31.407,0.166667,0.833614,-0.274997,-0.0466017,-0.128808,0.3072239725605572
31.5552,0.166667,0.916111,-0.280163,-0.0454284,-0.131759,0.312914493394857
31.7033,0.166667,0.998608,-0.286187,-0.0440533,-0.135402,0.31965198859680194
31.8514,0.166667,1.08111,-0.293052,-0.0426216,-0.139707,0.32743567511735794
31.9996,0.166667,1.1636,-0.300692,-0.0412534,-0.144611,0.33619914217106506
32.1477,0.166667,1.2461,-0.308989,-0.0400356,-0.150026,0.3458104279288871
32.2958,0.166667,1.3286,-0.317792,-0.0390168,-0.155843,0.35609143010642647
32.4439,0.166667,1.41109,-0.32692,-0.0382069,-0.161936,0.36682382924724233
32.5921,0.166667,1.49359,-0.336176,-0.0375797,-0.168169,0.3777662629048417
32.7402,0.166667,1.57608,-0.345353,-0.0370791,-0.1744,0.3886629828859574
32.8883,0.166667,1.65858,-0.354244,-0.0366286,-0.180488,0.3992572905006995
33.0365,0.166667,1.74108,-0.36265,-0.0361432,-0.186299,0.4093026640607656
33.1846,0.166667,1.82357,-0.370392,-0.0355425,-0.191714,0.41857826122034814
33.3327,0.166667,1.90607,-0.377311,-0.0347627,-0.196631,0.42689083638945685
33.4808,0.166667,1.98856,-0.383275,-0.0337657,-0.200969,0.4340833872454577
33.629,0.166667,2.07106,-0.388186,-0.0325414,-0.204667,0.44004078697202603
33.7771,0.166667,2.15355,-0.391971,-0.0311092,-0.207686,0.44468249545224964
33.9252,0.166667,2.23604,-0.394588,-0.0295094,-0.209999,0.4479621350442022
34.0733,0.166667,2.31854,-0.396018,-0.0277987,-0.211592,0.44986019885036505
34.2215,0.166667,2.40103,-0.396256,-0.026044,-0.212457,0.45037216201825797
34.3696,0.166667,2.48352,-0.395318,-0.0243017,-0.212603,0.44951855284947917
34.5177,0.166667,2.56602,-0.393242,-0.022608,-0.212058,0.4473466078914648
34.6658,0.166667,2.64851,-0.390068,-0.0209929,-0.210848,0.4439038472219069
34.8139,0.166667,2.731,-0.385837,-0.0194826,-0.209003,0.4392402716973479
34.9621,0.166667,2.81349,-0.380592,-0.0181005,-0.206557,0.4334093824702575
35.1102,0.166667,2.89598,-0.374367,-0.0168499,-0.203518,0.42644360253497765
35.2583,0.166667,2.97847,-0.36719,-0.0157396,-0.199901,0.41837380523780404
35.4064,0.166667,3.06096,-0.359072,-0.0147807,-0.195714,0.40921282979947
35.5545,0.166667,3.14344,-0.350014,-0.0139874,-0.190961,0.3989630948794136
35.7026,0.166667,3.22593,-0.34001,-0.013373,-0.185643,0.387619608221772
35.8507,0.166667,3.30841,-0.329045,-0.0129515,-0.179758,0.3751683514653788
35.9988,0.166667,3.3909,-0.317093,-0.0127402,-0.173294,0.361581379195666
