x,y,z,Ux,Uy,Uz,U_magnitude
0.0520833,0.05,0.0625,-0.000429598,0.0,0.000932088,0.0010263247445852603
0.15625,0.05,0.0625,-0.00127821,0.0,0.000950376,0.0015928073786481527
0.260417,0.05,0.0625,-0.00213782,0.0,0.00094508,0.002337402523914099
0.364583,0.05,0.0625,-0.00299532,0.0,0.000933212,0.0031373279298383843
0.46875,0.05,0.0625,-0.00385115,0.0,0.000921167,0.003959785974568449
0.572917,0.05,0.0625,-0.00470499,0.0,0.00090973,0.004792133092162612
0.677083,0.05,0.0625,-0.00555685,0.0,0.000899166,0.005629127944722522
0.78125,0.05,0.0625,-0.00640741,0.0,0.000889969,0.006468921682093624
0.885417,0.05,0.0625,-0.00725762,0.0,0.000882203,0.007311041662964929
0.989583,0.05,0.0625,-0.00810864,0.0,0.000876164,0.008155838767686375
1.09375,0.05,0.0625,-0.00896178,0.0,0.000871793,0.009004083729244692
1.19792,0.05,0.0625,-0.00981842,0.0,0.000869298,0.009856827598634562
1.30208,0.05,0.0625,-0.0106801,0.0,0.000868534,0.01071535754509181
1.40625,0.05,0.0625,-0.0115482,0.0,0.000869635,0.011580897559050637
1.51042,0.05,0.0625,-0.0124244,0.0,0.000872378,0.012454989310910066
1.61458,0.05,0.0625,-0.0133101,0.0,0.000876833,0.013338950412978114
1.71875,0.05,0.0625,-0.0142066,0.0,0.000882713,0.014233996831542748
1.82292,0.05,0.0625,-0.0151153,0.0,0.000890044,0.015141481843331452
1.92708,0.05,0.0625,-0.0160374,0.0,0.000898498,0.016062549530382903
2.03125,0.05,0.0625,-0.0169739,0.0,0.000908076,0.016998172938047666
2.13542,0.05,0.0625,-0.0179258,0.0,0.000918435,0.017949312758131577
2.23958,0.05,0.0625,-0.0188936,0.0,0.000929575,0.018916453965810424
2.34375,0.05,0.0625,-0.0198781,0.0,0.00094116,0.01990036787990614
2.44792,0.05,0.0625,-0.0208797,0.0,0.000953206,0.020901446690801958
2.55208,0.05,0.0625,-0.0218987,0.0,0.000965396,0.021919969231885706
2.65625,0.05,0.0625,-0.0229352,0.0,0.000977776,0.022956032866028396
2.76042,0.05,0.0625,-0.0239892,0.0,0.000990061,0.024009621767610602
2.86458,0.05,0.0625,-0.0250608,0.0,0.00100233,0.025080836550420323
2.96875,0.05,0.0625,-0.0261497,0.0,0.00101433,0.026169365208940396
3.07292,0.05,0.0625,-0.0272557,0.0,0.00102617,0.027275010675688105
3.17708,0.05,0.0625,-0.0283786,0.0,0.00103764,0.028397563887235116
3.28125,0.05,0.0625,-0.0295179,0.0,0.00104888,0.029536529411296784
