x,y,z,Ux,Uy,Uz,U_magnitude
0.0833333,0.05,0.0625,-0.000110089,0.0,0.000181049,0.00021189225639933138
0.25,0.05,0.0625,-0.000342739,0.0,0.000180136,0.0003871937507463156
0.416667,0.05,0.0625,-0.000586979,0.0,0.000179533,0.0006138211828619146
0.583333,0.05,0.0625,-0.000829395,0.0,0.000181219,0.0008489619496691239
0.75,0.05,0.0625,-0.0010773,0.0,0.000185981,0.001093235666432906
0.916667,0.05,0.0625,-0.00133504,0.0,0.000194204,0.0013490911737966415
1.08333,0.05,0.0625,-0.00160771,0.0,0.00020644,0.0016209099042513127
1.25,0.05,0.0625,-0.00190123,0.0,0.000223211,0.0019142880304230607
1.41667,0.05,0.0625,-0.00222226,0.0,0.000244971,0.002235721426842128
1.58333,0.05,0.0625,-0.0025781,0.0,0.000272072,0.0025924163984946554
1.75,0.05,0.0625,-0.00297655,0.0,0.000304721,0.002992107082031156
1.91667,0.05,0.0625,-0.00342572,0.0,0.000342967,0.0034428453176825998
2.08333,0.05,0.0625,-0.00393382,0.0,0.000386685,0.003952779412214271
2.25,0.05,0.0625,-0.00450894,0.0,0.0004356,0.0045299323707534535
2.41667,0.05,0.0625,-0.00515885,0.0,0.0004893,0.005182002297616241
2.58333,0.05,0.0625,-0.00589086,0.0,0.000547277,0.005916227146951764
2.75,0.05,0.0625,-0.0067117,0.0,0.000608959,0.0067392690963991786
2.91667,0.05,0.0625,-0.00762745,0.0,0.000673757,0.007657149730647103
3.08333,0.05,0.0625,-0.00864348,0.0,0.000741085,0.008675191841545927
3.25,0.05,0.0625,-0.00976449,0.0,0.000810401,0.009798061784909351
3.41667,0.05,0.0625,-0.0109946,0.0,0.000881211,0.011029857750058294
3.58333,0.05,0.0625,-0.0123371,0.0,0.000953097,0.012373860767820568
3.75,0.05,0.0625,-0.0137952,0.0,0.0010257,0.013833278842342476
3.91667,0.05,0.0625,-0.0153712,0.0,0.00109875,0.015410419884042745
4.08333,0.05,0.0625,-0.0170673,0.0,0.00117202,0.017107494269190917
4.25,0.05,0.0625,-0.0188853,0.0,0.00124535,0.018926316406329576
4.41667,0.05,0.0625,-0.0208269,0.0,0.00131864,0.020868602613965316
4.58333,0.05,0.0625,-0.0228933,0.0,0.00139181,0.02293556888254791
4.75,0.05,0.0625,-0.0250859,0.0,0.00146482,0.025128630612160308
4.91667,0.05,0.0625,-0.0274058,0.0,0.00153768,0.027448904047746605
5.08333,0.05,0.0625,-0.0298541,0.0,0.00161038,0.029897501744366534
5.25,0.05,0.0625,-0.0324317,0.0,0.00168297,0.032475337610422164
5.41667,0.05,0.0625,-0.0351397,0.0,0.00175548,0.035183522082366914
5.58333,0.05,0.0625,-0.037979,0.0,0.00182798,0.03802296611102821
5.75,0.05,0.0625,-0.0409508,0.0,0.00190053,0.04099487815472685
5.91667,0.05,0.0625,-0.0440561,0.0,0.00197323,0.044100267389698446
6.08333,0.05,0.0625,-0.047296,0.0,0.00204615,0.04734024023832684
6.25,0.05,0.0625,-0.0506718,0.0,0.00211943,0.05071610492501273
6.41667,0.05,0.0625,-0.054185,0.0,0.00219317,0.054229366764225635
6.58333,0.05,0.0625,-0.0578371,0.0,0.00226753,0.05788153270872239
6.75,0.05,0.0625,-0.0616299,0.0,0.00234267,0.06167440860469519
6.91667,0.05,0.0625,-0.0655653,0.0,0.00241876,0.06560989989344292
7.08333,0.05,0.0625,-0.0696456,0.0,0.00249602,0.0696903129222448
7.25,0.05,0.0625,-0.0738736,0.0,0.00257468,0.0739184534068618
7.41667,0.05,0.0625,-0.0782521,0.0,0.00265499,0.07829712719065816
7.58333,0.05,0.0625,-0.0827845,0.0,0.00273726,0.08282974123198503
7.75,0.05,0.0625,-0.0874749,0.0,0.0028218,0.08752040153729872
7.91667,0.05,0.0625,-0.0923278,0.0,0.00290898,0.09237361537517301
8.08333,0.05,0.0625,-0.0973482,0.0,0.00299918,0.09739438959155912
8.25,0.05,0.0625,-0.102542,0.0,0.00309288,0.10258863324313468
8.41667,0.05,0.0625,-0.107916,0.0,0.00319053,0.1079631536112247
8.58333,0.05,0.0625,-0.113477,0.0,0.00329269,0.1135247608957451
8.75,0.05,0.0625,-0.119235,0.0,0.00339995,0.11928346442404537
8.91667,0.05,0.0625,-0.125198,0.0,0.00351294,0.12524727522562557
9.08333,0.05,0.0625,-0.131378,0.0,0.00363238,0.1314282049959764
9.25,0.05,0.0625,-0.137787,0.0,0.00375904,0.13783826664145774
9.41667,0.05,0.0625,-0.144437,0.0,0.00389374,0.14448947428857095
9.58333,0.05,0.0625,-0.151345,0.0,0.00403738,0.15139884234122927
9.75,0.05,0.0625,-0.158528,0.0,0.00419095,0.15858338767318128
9.91667,0.05,0.0625,-0.166002,0.0,0.00435549,0.16605912891840696
10.0833,0.05,0.0625,-0.173791,0.0,0.00453212,0.17385008424701553
10.25,0.05,0.0625,-0.181915,0.0,0.00472206,0.1819762761341258
10.4167,0.05,0.0625,-0.190401,0.0,0.00492658,0.1904647263707808
10.5833,0.05,0.0625,-0.199276,0.0,0.00514705,0.19934245985163948
10.75,0.05,0.0625,-0.20857,0.0,0.00538492,0.2086395031229858
10.9167,0.05,0.0625,-0.218316,0.0,0.0056417,0.21838888395449527
11.0833,0.05,0.0625,-0.228551,0.0,0.00591898,0.2286276315873486
11.25,0.05,0.0625,-0.239313,0.0,0.00621842,0.23939377752209098
11.4167,0.05,0.0625,-0.250645,0.0,0.00654171,0.2507303531579775
11.5833,0.05,0.0625,-0.262592,0.0,0.00689061,0.26268239181599534
11.75,0.05,0.0625,-0.275204,0.0,0.00726688,0.2752999258280583
11.9167,0.05,0.0625,-0.288535,0.0,0.00767229,0.2886369869903095
12.0833,0.05,0.0625,-0.302639,0.0,0.00810857,0.30274760647847393
12.25,0.05,0.0625,-0.317579,0.0,0.00857741,0.31769481142018685
12.4167,0.05,0.0625,-0.333416,0.0,0.00908037,0.33353962609461696
12.5833,0.05,0.0625,-0.350218,0.0,0.00961892,0.350350069424806
12.75,0.05,0.0625,-0.368055,0.0,0.0101943,0.36819615258376887
12.9167,0.05,0.0625,-0.387001,0.0,0.0108075,0.3871518772487743
13.0833,0.05,0.0625,-0.40713,0.0,0.0114593,0.40729123788327437
13.25,0.05,0.0625,-0.42852,0.0,0.01215,0.4286922123155493
13.4167,0.05,0.0625,-0.451249,0.0,0.0128795,0.4514327652278355
13.5833,0.05,0.0625,-0.475397,0.0,0.0136473,0.4755928473035418
13.75,0.05,0.0625,-0.501041,0.0,0.0144522,0.5012493887934827
13.9167,0.05,0.0625,-0.528258,0.0,0.0152924,0.5284793014506434
14.0833,0.05,0.0625,-0.557123,0.0,0.0161654,0.5573574771061747
14.25,0.05,0.0625,-0.587706,0.0,0.0170679,0.5879537869989527
14.4167,0.05,0.0625,-0.62007,0.0,0.0179957,0.6203310810514737
14.5833,0.05,0.0625,-0.654273,0.0,0.0189437,0.6545471887485959
14.75,0.05,0.0625,-0.690362,0.0,0.0199059,0.6906489237657654
14.9167,0.05,0.0625,-0.728375,0.0,0.0208749,0.7286740712245839
15.0833,0.05,0.0625,-0.768334,0.0,0.0218426,0.7686444137120623
15.25,0.05,0.0625,-0.810248,0.0,0.0227995,0.8105687131293989
15.4167,0.05,0.0625,-0.854106,0.0,0.0237351,0.8544357285413632
15.5833,0.05,0.0625,-0.899879,0.0,0.0246375,0.900216207945208
15.75,0.05,0.0625,-0.947514,0.0,0.0254938,0.9478569058852924
15.9167,0.05,0.0625,-0.996934,0.0,0.02629,0.9972805846179901
16.0833,0.05,0.0625,-1.04803,0.0,0.0270111,1.0483780236265972
16.25,0.05,0.0625,-1.10068,0.0,0.0276412,1.1010270198035288
16.4167,0.05,0.0625,-1.15471,0.0,0.0281637,1.1550534091970335
16.5833,0.05,0.0625,-1.20991,0.0,0.0285613,1.2102470640153151
16.75,0.05,0.0625,-1.26606,0.0,0.0288167,1.2663879049481206
16.9167,0.05,0.0625,-1.32289,0.0,0.0289125,1.3232059116994035
17.0833,0.05,0.0625,-1.38008,0.0,0.0288317,1.3803811333558895
17.25,0.05,0.0625,-1.4373,0.0,0.0285581,1.437583686285988
17.4167,0.05,0.0625,-1.49416,0.0,0.0280763,1.4944237632685349
17.5833,0.05,0.0625,-1.55024,0.0,0.0273726,1.5504816402752921
17.75,0.05,0.0625,-1.60511,0.0,0.0264351,1.6053276695466288
17.9167,0.05,0.0625,-1.65829,0.0,0.0252538,1.658482281640187
18.0833,0.05,0.0625,-1.70928,0.0,0.0238213,1.7094459841520848
18.25,0.05,0.0625,-1.75755,0.0,0.0221328,1.757689353479687
18.4167,0.05,0.0625,-1.80259,0.0,0.0201867,1.8027030290530077
18.5833,0.05,0.0625,-1.84386,0.0,0.0179847,1.8439477077818909
18.75,0.05,0.0625,-1.88082,0.0,0.0155317,1.8808841288353968
18.9167,0.05,0.0625,-1.91296,0.0,0.0128368,1.9130030697921632
19.0833,0.05,0.0625,-1.93979,0.0,0.00991324,1.9398153304959977
19.25,0.05,0.0625,-1.96083,0.0,0.00677884,1.9608417176232624
19.4167,0.05,0.0625,-1.97568,0.0,0.0034572,1.975683024837699
19.5833,0.05,0.0625,-1.98399,0.0,-1.67065e-05,1.9839900000703397
19.75,0.05,0.0625,-1.98549,0.0,-0.00358771,1.9854932414297068
19.9167,0.05,0.0625,-1.97998,0.0,-0.00720836,1.9799931214158017
20.0833,0.05,0.0625,-1.96744,0.0,-0.010865,1.9674700002350736
20.25,0.05,0.0625,-1.94781,0.0,-0.0145313,1.9478642033724247
20.4167,0.05,0.0625,-1.92114,0.0,-0.018159,1.9212258193354055
20.5833,0.05,0.0625,-1.88761,0.0,-0.0216997,1.8877347242343374
20.75,0.05,0.0625,-1.84748,0.0,-0.0251051,1.8476505666510672
20.9167,0.05,0.0625,-1.80112,0.0,-0.0283293,1.8013427779405258
21.0833,0.05,0.0625,-1.74896,0.0,-0.0313304,1.7492405996786606
21.25,0.05,0.0625,-1.69155,0.0,-0.034072,1.6918931123696912
21.4167,0.05,0.0625,-1.62947,0.0,-0.0365242,1.6298792894216554
21.5833,0.05,0.0625,-1.56335,0.0,-0.0386644,1.5638280462785414
21.75,0.05,0.0625,-1.49387,0.0,-0.0404777,1.4944182885314572
21.9167,0.05,0.0625,-1.4217,0.0,-0.0419565,1.4223189648922812
22.0833,0.05,0.0625,-1.34752,0.0,-0.0431007,1.348209116101983
22.25,0.05,0.0625,-1.27199,0.0,-0.0439166,1.2727479042825252
22.4167,0.05,0.0625,-1.19574,0.0,-0.0444161,1.1965646399335097
22.5833,0.05,0.0625,-1.11938,0.0,-0.0446161,1.1202687984493767
22.75,0.05,0.0625,-1.04343,0.0,-0.0445369,1.044380055516961
22.9167,0.05,0.0625,-0.968417,0.0,-0.0442014,0.9694252161208516
23.0833,0.05,0.0625,-0.894764,0.0,-0.0436345,0.8958273188992675
23.25,0.05,0.0625,-0.822861,0.0,-0.0428617,0.8239765473894811
23.4167,0.05,0.0625,-0.75304,0.0,-0.0419087,0.7542052643250974
23.5833,0.05,0.0625,-0.685574,0.0,-0.0408007,0.6867870169102572
23.75,0.05,0.0625,-0.620687,0.0,-0.0395618,0.6219465314544651
23.9167,0.05,0.0625,-0.558554,0.0,-0.0382149,0.5598597587771512
24.0833,0.05,0.0625,-0.499304,0.0,-0.0367813,0.5006569169058688
24.25,0.05,0.0625,-0.443026,0.0,-0.0352805,0.44442856608936604
24.4167,0.05,0.0625,-0.389775,0.0,-0.0337302,0.3912317433657959
24.5833,0.05,0.0625,-0.339569,0.0,-0.0321461,0.3410871992705238
24.75,0.05,0.0625,-0.292403,0.0,-0.0305425,0.2939938072736397
24.9167,0.05,0.0625,-0.248244,0.0,-0.0289316,0.24992423054710003
25.0833,0.05,0.0625,-0.207042,0.0,-0.0273244,0.20883728737790097
25.25,0.05,0.0625,-0.168728,0.0,-0.0257303,0.17067860534375712
25.4167,0.05,0.0625,-0.133219,0.0,-0.0241576,0.13539162307454625
25.5833,0.05,0.0625,-0.10042,0.0,-0.0226132,0.10293460649480328
25.75,0.05,0.0625,-0.0702247,0.0,-0.0211032,0.0733270314435952
25.9167,0.05,0.0625,-0.0425307,0.0,-0.0196303,0.04684238594029984
26.0833,0.05,0.0625,-0.0173511,0.0,-0.0181824,0.02513285381666794
26.25,0.05,0.0625,0.00585991,0.0,-0.0165252,0.01753341895490152
26.4167,0.05,0.0625,0.0264976,0.0,-0.0147276,0.030315425240626265
26.5833,0.05,0.0625,0.0449589,0.0,-0.0130706,0.046820329703772916
26.75,0.05,0.0625,0.0615277,0.0,-0.0115712,0.06260631387272372
26.9167,0.05,0.0625,0.0762633,0.0,-0.0101936,0.07694153889707432
27.0833,0.05,0.0625,0.0892784,0.0,-0.00892906,0.08972380296801734
27.25,0.05,0.0625,0.100692,0.0,-0.00776849,0.10099122883141931
27.4167,0.05,0.0625,0.110612,0.0,-0.00670334,0.11081493270834757
27.5833,0.05,0.0625,0.119144,0.0,-0.00572613,0.11928152120415342
27.75,0.05,0.0625,0.126385,0.0,-0.00483022,0.12647726772131188
27.9167,0.05,0.0625,0.13243,0.0,-0.00400964,0.13249068689130417
28.0833,0.05,0.0625,0.137369,0.0,-0.00325893,0.1374076518456847
28.25,0.05,0.0625,0.141287,0.0,-0.00257308,0.1413104281703456
28.4167,0.05,0.0625,0.144264,0.0,-0.00194746,0.14427714405425277
28.5833,0.05,0.0625,0.146378,0.0,-0.00137776,0.14638448383150998
28.75,0.05,0.0625,0.147701,0.0,-0.00085988,0.14770350298694476
28.9167,0.05,0.0625,0.148301,0.0,-0.000389371,0.14830151115472706
29.0833,0.05,0.0625,0.148242,0.0,3.69399e-05,0.14824200460246148
29.25,0.05,0.0625,0.147586,0.0,0.000420018,0.1475865976676755
29.4167,0.05,0.0625,0.146394,0.0,0.000762278,0.14639598458888578
29.5833,0.05,0.0625,0.144723,0.0,0.00106745,0.14472693660304736
29.75,0.05,0.0625,0.142624,0.0,0.00133848,0.1426302804621459
29.9167,0.05,0.0625,0.140145,0.0,0.00157786,0.14015388209814097
30.0833,0.05,0.0625,0.137333,0.0,0.00178784,0.13734463681143724
30.25,0.05,0.0625,0.134231,0.0,0.00197048,0.13424546231597698
30.4167,0.05,0.0625,0.130877,0.0,0.00212767,0.1308942936442567
30.5833,0.05,0.0625,0.127311,0.0,0.00226119,0.12733107908604285
30.75,0.05,0.0625,0.123568,0.0,0.00237269,0.1235907774950708
30.9167,0.05,0.0625,0.11968,0.0,0.00246374,0.11970535666705813
31.0833,0.05,0.0625,0.115678,0.0,0.00253581,0.11570579076414499
31.25,0.05,0.0625,0.11159,0.0,0.00259028,0.11162005935528971
31.4167,0.05,0.0625,0.107444,0.0,0.00262848,0.10747614639123604
31.5833,0.05,0.0625,0.103264,0.0,0.00265167,0.10329803991261838
31.75,0.05,0.0625,0.0990713,0.0,0.00266105,0.0991070313892637
31.9167,0.05,0.0625,0.0948878,0.0,0.0026578,0.09492501508917446
32.0833,0.05,0.0625,0.0907319,0.0,0.00264302,0.0907703874197439
32.25,0.05,0.0625,0.0866206,0.0,0.0026178,0.08666014782586054
32.4167,0.05,0.0625,0.0825691,0.0,0.00258321,0.08260949853808641
32.5833,0.05,0.0625,0.0785911,0.0,0.00254025,0.07863214272339589
32.75,0.05,0.0625,0.0746984,0.0,0.00248994,0.07473988736788141
32.9167,0.05,0.0625,0.0709012,0.0,0.00243325,0.07094294092439712
33.0833,0.05,0.0625,0.0672082,0.0,0.00237112,0.06725001380887888
33.25,0.05,0.0625,0.0636267,0.0,0.00230448,0.06366841902356614
33.4167,0.05,0.0625,0.0601622,0.0,0.00223423,0.06020367175291636
33.5833,0.05,0.0625,0.056819,0.0,0.00216121,0.056860087844322754
33.75,0.05,0.0625,0.0536002,0.0,0.00208623,0.0536407848157808
33.9167,0.05,0.0625,0.0505074,0.0,0.00201005,0.05054738129480597
34.0833,0.05,0.0625,0.0475411,0.0,0.00193339,0.04758039707802048
34.25,0.05,0.0625,0.0447009,0.0,0.00185688,0.04473945086994699
34.4167,0.05,0.0625,0.0419854,0.0,0.00178109,0.04202316140830078
34.5833,0.05,0.0625,0.0393924,0.0,0.00170651,0.03942934635699786
34.75,0.05,0.0625,0.0369189,0.0,0.00163355,0.03695502215954551
34.9167,0.05,0.0625,0.0345616,0.0,0.00156253,0.03459690296198346
35.0833,0.05,0.0625,0.0323167,0.0,0.00149369,0.032351201039622926
35.25,0.05,0.0625,0.03018,0.0,0.0014272,0.030213727010085994
35.4167,0.05,0.0625,0.0281472,0.0,0.00136313,0.02818018792053914
35.5833,0.05,0.0625,0.0262142,0.0,0.00130149,0.026246488486273742
35.75,0.05,0.0625,0.0243766,0.0,0.00124226,0.02440823298535967
35.9167,0.05,0.0625,0.0226303,0.0,0.00118532,0.022661320826297834
36.0833,0.05,0.0625,0.0209714,0.0,0.00113057,0.02100185245365037
36.25,0.05,0.0625,0.0193961,0.0,0.00107784,0.019426024664753207
36.4167,0.05,0.0625,0.0179009,0.0,0.00102699,0.01793033544778513
36.5833,0.05,0.0625,0.0164826,0.0,0.000977844,0.016511580228686047
36.75,0.05,0.0625,0.0151382,0.0,0.000930256,0.015166755601167179
36.9167,0.05,0.0625,0.013865,0.0,0.000884086,0.013893157778395667
37.0833,0.05,0.0625,0.0126604,0.0,0.000839219,0.012688184136824347
37.25,0.05,0.0625,0.0115221,0.0,0.000795563,0.01154953284323522
