x,y,z,Ux,Uy,Uz,U_magnitude
25.108,0.05,0.124479,-0.411697,0.0,-0.195404,0.4557160772070698
25.3245,0.05,0.248696,-0.522555,0.0,-0.279187,0.5924602172247517
25.541,0.05,0.372913,-0.539133,0.0,-0.30696,0.6203940951435627
25.7575,0.05,0.49713,-0.516822,-2.09719e-16,-0.306964,0.6011088728175621
25.974,0.05,0.621347,-0.471008,0.0,-0.289321,0.552770456071053
26.1905,0.05,0.745564,-0.411282,0.0,-0.26095,0.4870808824250855
26.407,0.05,0.869781,-0.344278,0.0,-0.226441,0.4120714352694202
26.6235,0.05,0.993998,-0.274381,-2.51871e-16,-0.188789,0.33305588071973746
26.8401,0.05,1.11821,-0.204609,0.0,-0.150043,0.25372769799531153
27.0566,0.05,1.24243,-0.137051,0.0,-0.111628,0.1767591213629441
27.2731,0.05,1.36665,-0.073458,0.0,-0.0746518,0.10473284588532863
27.4896,0.05,1.49086,-0.0145344,3.22325e-16,-0.0395339,0.0421209927775925
27.7061,0.05,1.61508,0.0395548,0.0,-0.0061607,0.040031692788714296
27.9226,0.05,1.7393,0.0863998,3.30967e-16,0.0235586,0.08955407904724386
28.1391,0.05,1.86351,0.127563,0.0,0.0499919,0.1370091567546126
28.3556,0.05,1.98773,0.162619,0.0,0.0729614,0.1782366546223307
28.5721,0.05,2.11195,0.191789,3.41883e-16,0.0925361,0.21294588590580937
28.7886,0.05,2.23616,0.215359,-3.48553e-16,0.108823,0.24129223818846723
29.0051,0.05,2.36038,0.233658,0.0,0.12197,0.2635768234576022
29.2216,0.05,2.48459,0.24705,0.0,0.132154,0.2801756274482133
29.4381,0.05,2.60881,0.255929,3.78129e-16,0.139578,0.29151615928623925
29.6546,0.05,2.73303,0.260698,0.0,0.144458,0.29804623964747484
29.8711,0.05,2.85724,0.261765,0.0,0.147017,0.3002247716528401
30.0876,0.05,2.98146,0.259555,0.0,0.147484,0.29853028034187756
30.3041,0.05,3.10567,0.254479,4.40651e-16,0.146096,0.2934341538693136
30.5206,0.05,3.22989,0.246946,0.0,0.143087,0.2854053546887304
30.7371,0.05,3.3541,0.237353,0.0,0.13869,0.2749024603545774
30.9536,0.05,3.47832,0.226083,-5.09923e-16,0.133131,0.26236879778281563
31.1701,0.05,3.60253,0.213498,5.37967e-16,0.126629,0.24822630731854348
31.3866,0.05,3.72675,0.199939,0.0,0.119392,0.2328734707625581
31.6031,0.05,3.85096,0.185723,0.0,0.111614,0.21668114298434002
31.8196,0.05,3.97518,0.171141,6.3883e-16,0.103478,0.19999234576603175
32.0361,0.05,4.09939,0.156457,-6.78434e-16,0.095151,0.1831188293158298
32.2526,0.05,4.22361,0.141904,0.0,0.0867839,0.16633757998483084
32.4691,0.05,4.34782,0.127688,7.67136e-16,0.078511,0.14989397074265529
32.6856,0.05,4.47203,0.11398,0.0,0.0704485,0.13399414745521537
32.9021,0.05,4.59625,0.100922,0.0,0.0626948,0.11881030271420066
33.1186,0.05,4.72046,0.0886253,9.23887e-16,0.0553292,0.10447853450699814
33.3351,0.05,4.84467,0.0771682,0.0,0.0484129,0.09109742025793048
33.5516,0.05,4.96889,0.0666013,0.0,0.0419887,0.07873235732137074
33.768,0.05,5.0931,0.0569483,1.1056e-15,0.0360826,0.06741708163106735
33.9845,0.05,5.21731,0.0482083,0.0,0.0307051,0.0571563063440947
34.201,0.05,5.34152,0.040362,1.23617e-15,0.0258535,0.04793218653733627
34.4175,0.05,5.46573,0.0333745,1.30285e-15,0.0215139,0.0397077466429411
34.634,0.05,5.58994,0.0272008,0.0,0.0176646,0.032433341082904174
34.8505,0.05,5.71415,0.0217892,1.43646e-15,0.0142781,0.02605059262761598
35.067,0.05,5.83836,0.0170851,1.50248e-15,0.0113238,0.02049705072565319
35.2835,0.05,5.96257,0.0130334,1.56753e-15,0.00876987,0.015709237262734942
35.5,0.05,6.08678,0.00958039,0.0,0.00658429,0.011624833218425114
35.7165,0.05,6.21099,0.00667404,0.0,0.00473577,0.008183540029504346
35.933,0.05,6.3352,0.00426461,0.0,0.00319406,0.005328125161414661
36.1494,0.05,6.4594,0.00230401,0.0,0.00192997,0.0030055359390631147
36.3659,0.05,6.58361,0.000746262,1.87724e-15,0.000915499,0.0011811203967610584
36.5824,0.05,6.70781,-0.000454846,0.0,0.000121861,0.0004708874462512247
36.7989,0.05,6.83202,-0.00133819,0.0,-0.000474073,0.0014196822480502457
37.0154,0.05,6.95622,-0.00194865,2.05237e-15,-0.000898706,0.0021459052395052304
37.2318,0.05,7.08042,-0.0023276,0.0,-0.00117764,0.002608554720453454
37.4483,0.05,7.20462,-0.00251332,2.18452e-15,-0.00133418,0.0028454900623266985
37.6648,0.05,7.32882,-0.00254214,2.25873e-15,-0.00139059,0.002897622530230603
37.8812,0.05,7.45301,-0.00244813,0.0,-0.00136746,0.002804155371676113
38.0977,0.05,7.5772,-0.0022625,2.43058e-15,-0.00128404,0.002601473615395705
38.3142,0.05,7.70139,-0.00201393,2.53178e-15,-0.00115769,0.0023229636632973835
38.5306,0.05,7.82558,-0.00172762,2.64626e-15,-0.0010042,0.001998271379067418
38.7471,0.05,7.94976,-0.00142605,0.0,-0.000837182,0.0016536300383169144
38.9635,0.05,8.07394,-0.00112765,0.0,-0.000668545,0.0013109336136986494
39.1799,0.05,8.19811,-0.0008481,0.0,-0.000507781,0.0009884913524968238
39.3963,0.05,8.32228,-0.00059859,0.0,-0.000362603,0.0006998506438583878
39.6127,0.05,8.44644,-0.000387788,-3.57244e-15,-0.000238172,0.0004550883810074698
39.8291,0.05,8.57058,-0.000219546,0.0,-0.000137967,0.0002592977809488542
40.0455,0.05,8.69472,-9.57627e-05,0.0,-6.31617e-05,0.00011471658580248977
40.2618,0.05,8.81883,-1.52674e-05,0.0,-1.32922e-05,2.024292675479512e-05
40.4781,0.05,8.94292,2.87873e-05,0.0,1.49593e-05,3.2442091452001054e-05
40.6943,0.05,9.06698,4.27331e-05,0.0,2.508e-05,4.954921024204119e-05
40.9104,0.05,9.19099,3.62161e-05,0.0,2.26262e-05,4.2703054055301475e-05
41.1264,0.05,9.31491,2.03262e-05,0.0,1.38396e-05,2.4590423636041733e-05
41.3422,0.05,9.43872,5.62567e-06,0.0,5.44548e-06,7.82952204028445e-06
41.5576,0.05,9.56228,-4.76762e-07,0.0,1.41331e-06,1.4915586346986162e-06
41.772,0.05,9.68531,7.81432e-08,-2.7453e-14,1.12017e-06,1.1228923317069363e-06
41.9837,0.05,9.80677,1.4513e-06,0.0,1.26713e-06,1.926626618444788e-06
42.1762,0.05,9.91719,9.58174e-07,0.0,4.66866e-07,1.0658617528704178e-06
31.8196,0.05,4.05096,0.168438,-3.68128e-16,0.10557,0.19878728516683355
32.0361,0.05,4.17361,0.154472,-8.47609e-20,0.0973492,0.18258824037883709
32.2526,0.05,4.29626,0.140572,0.0,0.0890461,0.16640220884714843
32.4691,0.05,4.41892,0.126934,-2.17218e-16,0.0807968,0.1504671500568812
32.6856,0.05,4.54157,0.113726,2.29634e-16,0.0727208,0.13498858406783884
32.9021,0.05,4.66422,0.101086,0.0,0.0649198,0.12013725412227466
33.1186,0.05,4.78687,0.0891264,-5.12094e-16,0.0574775,0.10605271417182117
33.3351,0.05,4.90952,0.0779293,0.0,0.0504594,0.09283925272668885
33.5516,0.05,5.03217,0.067551,2.84625e-16,0.0439135,0.0805700507834642
33.768,0.05,5.15482,0.0580226,-2.99459e-16,0.037871,0.06928805634277815
33.9845,0.05,5.27747,0.0493528,0.0,0.0323474,0.05900892436403158
34.201,0.05,5.40012,0.0415318,-6.60183e-16,0.027345,0.049725641637288105
34.4175,0.05,5.52277,0.0345348,4.14234e-20,0.0228541,0.04141210327730288
34.634,0.05,5.64542,0.0283257,0.0,0.0188566,0.034028174268538124
34.8505,0.05,5.76806,0.022861,-3.76616e-16,0.0153281,0.02752409799811794
35.067,0.05,5.89071,0.0180926,2.7254e-20,0.0122401,0.021844043187331415
35.2835,0.05,6.01336,0.0139706,-8.14422e-16,0.00956199,0.016929539778744725
35.5,0.05,6.136,0.0104447,0.0,0.00726252,0.01272147612662933
35.7165,0.05,6.25865,0.00746528,0.0,0.00531065,0.009161517827352628
35.933,0.05,6.38129,0.00498377,4.52048e-16,0.00367601,0.006192819465558479
36.1494,0.05,6.50394,0.00295291,0.0,0.00232906,0.003760877284849906
36.3659,0.05,6.62658,0.00132699,-9.63793e-16,0.00124131,0.0018170726392194672
36.5824,0.05,6.74922,6.10928e-05,0.0,0.000384221,0.00038904769251704865
36.7989,0.05,6.87186,-0.00088637,5.1272e-16,-0.000267893,0.0009259689175933499
37.0154,0.05,6.9945,-0.00155745,-5.28897e-16,-0.000740573,0.0017245575869854273
37.2318,0.05,7.11714,-0.00199341,0.0,-0.00106006,0.002257744589562779
37.4483,0.05,7.23978,-0.00223232,-1.12863e-15,-0.00125032,0.0025586232010204237
